Date,CompanyQA Total Sales,Consumer Confidence Index,S&P,CompanyQA Google Trends,CompanyQA Website Unique Visitors
39814,1658.00,40,825.88,0.7975,135.514
39845,1518.00,25.3,735.09,0.79,123.793
39873,1749.00,26.9,797.87,0.812,191.221
39904,1853.00,40.8,872.81,0.92,148.714

39934,1979.00,54.8,919.14,0.956,169.924
